strategy,row_id,stage,purpose,correctness_score,generalizability_score,explainability_score,fail_reasons
hierarchical,00d365989b09585d,architect,solver_baseline_selection,0.0,0.6,0.18,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'literal_case_in_prompt']"
hierarchical,00d365989b09585d,input_writer,inputs_selection,0.0,0.6,0.18,"['inputs_mismatch', 'warn_signal', 'literal_case_in_prompt']"
hierarchical,019b835399b503b4,architect,solver_baseline_selection,0.0,0.6,0.18,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'literal_case_in_prompt']"
hierarchical,019b835399b503b4,input_writer,inputs_selection,0.0,0.6,0.18,"['inputs_mismatch', 'warn_signal', 'literal_case_in_prompt']"
hierarchical,02b7f52302fe6ed9,architect,solver_baseline_selection,0.0,0.6,0.18,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'literal_case_in_prompt']"
hierarchical,02b7f52302fe6ed9,input_writer,inputs_selection,0.0,0.6,0.18,"['inputs_mismatch', 'warn_signal', 'literal_case_in_prompt']"
hierarchical,044aa002dd4dfd20,architect,solver_baseline_selection,0.0,0.6,0.18,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'literal_case_in_prompt']"
hierarchical,044aa002dd4dfd20,input_writer,inputs_selection,0.0,0.6,0.18,"['inputs_mismatch', 'warn_signal', 'literal_case_in_prompt']"
hierarchical,097d4e7bc5c12639,architect,solver_baseline_selection,0.0,0.6,0.18,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'literal_case_in_prompt']"
hierarchical,097d4e7bc5c12639,input_writer,inputs_selection,0.0,0.6,0.18,"['inputs_mismatch', 'warn_signal', 'literal_case_in_prompt']"
hierarchical,0a50784987204f69,architect,solver_baseline_selection,0.0,0.6,0.18,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'literal_case_in_prompt']"
hierarchical,0a50784987204f69,input_writer,inputs_selection,0.0,0.6,0.18,"['inputs_mismatch', 'warn_signal', 'literal_case_in_prompt']"
